상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,광고 계정 이름,광고 계정 ID,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 전환율(%),총 광고수익률(%)
소화전 분전함 앞 자재 적치금지 스티커 축광 타입 소방 안전 바닥 표시,13397040841,90941551177,hana1644,1872088,0,전환,0,전환당,0,9,0,0,0,0.00,0.00,0.00
차량 2부제 차단기 걸이용 안내표지 출입통제 운행제한 안내,13365178964,90909689296,hana1644,1872088,0,전환,0,전환당,0,21,0,0,0,0.00,0.00,0.00
2부제 A형 입간판 노랑 블랙 포맥스 요일제 교체용 덧방용 패널 차량요일제,13347714587,90892224919,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
2부제 차량 요일제 스텐입간판 라운드 운행제한 교통 주차,13347694263,90892204595,hana1644,1872088,0,전환,0,전환당,0,36,0,0,0,0.00,0.00,0.00
2부제 차량 요일제 스텐입간판 사각 운행제한 교통 주차,13347645296,90892155628,hana1644,1872088,0,전환,0,전환당,0,36,0,0,0,0.00,0.00,0.00
2부제 차량 요일제 안내판 주차장 공공기관 차량제한 안내,13347618659,90892128991,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
2부제 차량 요일제 주차스티커 차량등록 출입관리 스티커,13347528620,90892038952,hana1644,1872088,0,전환,0,전환당,0,7,0,0,0,0.00,0.00,0.00
2부제 차량 요일제 오뚜기 표지판 운행제한 교통관리 안내,13347505507,90892015839,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
2부제 A형입간판 블랙 소형 대형 요일제 운행제한 공공기관 주차,13341823054,90886333386,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
2부제 A형입간판 노랑 소형 대형 요일제 운행제한 공공기관 주차,13341722531,90886232863,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
스티커 승용차 경차 공용 주차공간 차량 요일제 시행 안내 스티커 공동 사용구역 알림 표시 타인 배려이용 표지 리무벌 주차스티커 요일제 제외,13314149556,90858659888,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
5부제 주차스티커 요일제 30장 법인차량 회사 주차관리 표시 은행 차량 주차,13312652160,90857162492,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
당일발송 5부제 A형입간판 블랙 대형 차량 요일제 안내 주차 공공기관 공기업,13309059550,90853569882,hana1644,1872088,0,전환,0,전환당,0,59,0,0,0,0.00,0.00,0.00
당일발송 5부제 A형입간판 노랑 대형 요일제 지정차량 자동차 관공서 주차제한,13309047346,90853557678,hana1644,1872088,0,전환,0,전환당,0,10,0,0,0,0.00,0.00,0.00
약국 유리문 글자 시트컷팅 안내 스티커 제작 개업 안내 시트지,13269070258,90813580591,hana1644,1872088,0,전환,0,전환당,745,257,2900,1,745,0.39,0.00,0.00
골프 우승 포맥스 피켓 시상식 대회 기념 제작,13197786274,90742297371,hana1644,1872088,0,전환,0,전환당,0,9,0,0,0,0.00,0.00,0.00
골프대회 현수막 스포츠 행사 기념 배너 제작,13193091204,90737602301,hana1644,1872088,0,전환,0,전환당,0,9,0,0,0,0.00,0.00,0.00
눈 쌓여있는 차량 현수막 주차금지 아파트 주차 안내,13175299312,90719810409,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
방문차량 사전예약 현수막 주차 안내 배너 방문객 출입차량,13170544292,90715055389,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
산업 안전 게시판 안내판 A4 강화유리 플라스틱 슬림업게시판 10구,13166538970,90711050067,hana1644,1872088,0,전환,0,전환당,55,29,1897,1,55,3.45,0.00,0.00
사무실 게시판 공지사항 아크릴 강화유리 회사 A4 슬림업게시판 8구,13166537858,90711048955,hana1644,1872088,0,전환,0,전환당,4448,117,38017,3,1483,2.56,0.00,0.00
현장 관리 게시판 작업 지시문 전달용 A4 안내 공지사항 슬림업게시판 6구,13166536816,90711047913,hana1644,1872088,0,전환,0,전환당,0,36,0,0,0,0.00,0.00,0.00
빌라 게시판 공지사항 안내판 A4 강화유리 투명 슬림업게시판 4구,13166535798,90711046895,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
관리 게시판 공지사항 안내판 A4 투명 강화 포켓 슬림업게시판 3구,13166534580,90711045678,hana1644,1872088,0,전환,0,전환당,0,31,0,0,0,0.00,0.00,0.00
운영 공지 게시판 안내문 안내판 A4 어린이집 플라스틱 슬림업게시판 2구,13166247140,90710758237,hana1644,1872088,0,전환,0,전환당,0,9,0,0,0,0.00,0.00,0.00
